,sex,age,generation,incomelevel
7829,1,3,3,0
10888,1,3,2,0
8536,0,1,2,2
4907,1,0,4,2
4108,1,2,5,2
4620,0,4,0,2
8240,0,0,2,2
2037,0,0,4,2
12637,0,3,4,0
5429,0,0,2,2
9782,1,3,4,0
2324,0,0,4,1
6169,0,3,2,0
10177,1,0,4,0
6734,0,3,4,0
11076,0,1,2,2
9602,1,0,2,1
9056,1,3,4,0
5420,0,3,4,2
11498,1,3,4,1
5208,1,0,2,0
11536,0,3,4,2
3665,0,3,4,2
6132,0,1,4,0
11164,0,3,4,2
3563,0,0,4,2
4191,0,5,1,2
2560,1,3,4,2
5245,0,2,0,0
5771,0,0,2,2
2104,0,0,2,0
5609,1,3,3,2
11431,0,5,5,0
12117,0,3,3,2
1757,1,2,5,0
1616,1,4,5,0
3963,0,0,4,0
2606,0,5,5,2
5666,1,4,1,2
4097,0,0,4,0
1437,1,0,2,2
9238,0,5,5,2
4685,0,5,5,0
6145,0,5,1,0
8200,0,2,2,0
8719,1,3,3,2
578,0,2,0,2
6355,1,3,4,0
6799,0,0,4,0
11981,0,5,1,0
8055,1,4,5,0
11293,0,5,5,2
5803,0,0,2,2
1632,0,4,5,0
4481,0,1,2,0
11071,1,1,2,2
791,0,5,1,2
11288,1,4,0,2
11388,0,0,4,0
3683,1,3,4,2
7933,0,5,5,2
10474,0,0,4,2
9291,0,3,3,2
2266,0,4,5,1
12354,1,4,0,2
3398,0,4,1,2
9081,0,0,4,0
1787,1,1,0,0
13073,0,4,5,1
11682,1,3,3,0
6182,0,5,1,0
6246,1,5,5,0
347,0,2,0,0
5086,0,3,3,0
5807,1,3,4,2
12116,1,3,3,2
9746,0,3,4,0
8105,0,2,0,0
10199,1,0,4,0
12190,0,2,0,2
11790,0,2,5,2
10818,1,5,5,0
12823,0,3,4,0
359,0,2,0,0
4361,0,3,4,1
589,0,4,5,2
11539,0,1,0,2
12529,0,0,4,0
8915,1,3,4,0
4473,1,3,4,0
10071,0,4,5,0
6327,0,3,2,0
9670,1,0,4,1
363,1,0,2,0
6515,0,0,2,0
460,0,2,0,0
741,1,0,2,2
2186,0,0,2,1
6252,0,0,4,0
2646,0,4,0,2
2072,1,3,2,0
5723,1,5,1,2
3216,0,1,0,2
9516,0,2,0,2
8162,1,3,4,0
6079,1,3,4,0
2311,0,5,5,1
8942,0,5,5,0
12072,0,1,2,0
5213,0,1,2,0
5452,0,1,0,2
1936,0,5,5,0
192,0,0,4,2
2800,0,3,2,0
9588,1,1,2,1
7494,0,4,5,0
3492,0,4,5,2
8749,1,3,4,0
6435,1,3,4,0
8022,0,1,0,0
4979,1,3,3,2
889,0,3,3,2
3119,0,5,5,0
2583,0,4,5,2
9875,0,1,0,0
5112,1,0,2,0
5634,1,4,0,2
8392,1,3,3,2
6710,0,1,0,0
2209,0,2,0,1
9988,0,2,0,0
10552,0,1,4,2
12093,0,5,5,0
9889,0,1,0,0
12635,0,0,2,0
11112,0,2,0,2
4483,0,3,4,0
12611,0,4,5,0
11030,0,1,2,0
3239,0,2,0,2
92,1,3,4,2
5350,0,0,4,0
11481,0,1,4,0
3870,0,0,4,0
10414,0,5,5,0
2647,0,1,4,2
885,0,4,5,2
6139,0,3,3,0
2767,0,2,2,2
4996,1,3,3,2
7473,1,5,5,0
9039,0,3,4,0
4254,0,5,5,2
12516,1,4,5,0
9007,0,0,2,0
9657,1,1,2,1
254,0,3,2,0
13029,0,2,0,1
9068,1,3,4,0
7920,0,5,5,2
1286,1,3,4,0
7786,0,0,2,0
3380,0,0,2,2
3657,0,3,3,0
2432,1,3,2,2
1767,1,4,1,0
1744,0,3,3,0
10674,0,0,4,2
1490,0,4,5,2
8215,0,1,4,0
12647,0,1,2,0
1709,0,3,3,0
5257,0,2,0,0
8474,0,4,5,2
9591,1,2,0,1
10732,1,5,1,0
10416,0,1,0,2
9409,0,0,2,2
2713,0,0,4,2
11985,0,1,0,0
11286,1,1,4,2
4013,0,3,4,0
1996,1,2,2,0
628,1,3,4,2
11713,0,3,4,0
11696,0,0,4,0
3151,0,1,0,2
3573,0,4,0,2
10894,1,3,4,0
3113,0,5,5,0
2002,1,3,2,2
1776,0,5,1,0
4424,0,2,2,1
9953,0,1,2,0
2545,0,3,4,2
12410,1,3,4,1
9667,0,3,4,1
12049,0,1,2,0
11978,0,4,1,0
11023,0,3,3,0
9166,0,1,0,2
5127,1,3,2,0
8174,0,4,5,0
13059,0,3,4,1
198,1,0,4,2
11748,0,0,4,0
8822,0,1,4,0
2367,1,5,5,1
2107,0,0,2,0
3323,0,5,5,2
12395,1,3,4,1
9559,0,4,0,2
4640,0,3,4,0
10164,0,2,0,0
11906,0,1,2,2
7133,1,3,4,0
